id,Search Terms
ENST00000495723,ENST00000495723[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000648006,ENST00000648006[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000377918,ENST00000377918[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000685559,ENST00000685559[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000547454,ENST00000547454[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000358465,ENST00000358465[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000295958,ENST00000295958[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000392981,ENST00000392981[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000394295,ENST00000394295[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000325805,ENST00000325805[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000392882,ENST00000392882[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000315792,ENST00000315792[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000555868,ENST00000555868[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000533213,ENST00000533213[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000378026,ENST00000378026[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000231512,ENST00000231512[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000264888,ENST00000264888[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000268058,ENST00000268058[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000439096,ENST00000439096[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000504674,ENST00000504674[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000533871,ENST00000533871[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000328703,ENST00000328703[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000367123,ENST00000367123[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000393370,ENST00000393370[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000226299,ENST00000226299[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000357582,ENST00000357582[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000275227,ENST00000275227[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000241261,ENST00000241261[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000260762,ENST00000260762[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000581296,ENST00000581296[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000360938,ENST00000360938[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000417368,ENST00000417368[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000376016,ENST00000376016[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000504921,ENST00000504921[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000501817,ENST00000501817[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000403601,ENST00000403601[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000609104,ENST00000609104[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000684589,ENST00000684589[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000367627,ENST00000367627[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000377245,ENST00000377245[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000691173,ENST00000691173[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000396049,ENST00000396049[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000551556,ENST00000551556[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000324862,ENST00000324862[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000233055,ENST00000233055[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000333219,ENST00000333219[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000283547,ENST00000283547[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000373451,ENST00000373451[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000371222,ENST00000371222[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000536005,ENST00000536005[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000440978,ENST00000440978[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000652305,ENST00000652305[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000604433,ENST00000604433[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000373465,ENST00000373465[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000426597,ENST00000426597[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000376958,ENST00000376958[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000324288,ENST00000324288[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000533601,ENST00000533601[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000369779,ENST00000369779[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000428443,ENST00000428443[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000263881,ENST00000263881[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000645722,ENST00000645722[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000316754,ENST00000316754[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000280154,ENST00000280154[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000511664,ENST00000511664[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000367619,ENST00000367619[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000380036,ENST00000380036[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000306156,ENST00000306156[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000570137,ENST00000570137[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000254436,ENST00000254436[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000301887,ENST00000301887[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000341247,ENST00000341247[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000392070,ENST00000392070[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000371826,ENST00000371826[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000248975,ENST00000248975[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000372977,ENST00000372977[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000537668,ENST00000537668[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000312579,ENST00000312579[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000307980,ENST00000307980[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000255977,ENST00000255977[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000443739,ENST00000443739[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000450133,ENST00000450133[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000579760,ENST00000579760[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000375651,ENST00000375651[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000539966,ENST00000539966[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000306177,ENST00000306177[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000340533,ENST00000340533[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000378163,ENST00000378163[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000370500,ENST00000370500[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000262580,ENST00000262580[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000173229,ENST00000173229[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000265433,ENST00000265433[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000681958,ENST00000681958[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000380034,ENST00000380034[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000360310,ENST00000360310[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000392920,ENST00000392920[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000373921,ENST00000373921[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000610140,ENST00000610140[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000513610,ENST00000513610[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000449022,ENST00000449022[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000592569,ENST00000592569[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000362154,ENST00000362154[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000576250,ENST00000576250[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000315367,ENST00000315367[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000278407,ENST00000278407[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000282388,ENST00000282388[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000216446,ENST00000216446[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000501122,ENST00000501122[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000677752,ENST00000677752[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000215794,ENST00000215794[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000264346,ENST00000264346[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000314340,ENST00000314340[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000683222,ENST00000683222[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000259633,ENST00000259633[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000301336,ENST00000301336[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000512528,ENST00000512528[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000431010,ENST00000431010[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000394785,ENST00000394785[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000452145,ENST00000452145[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000417314,ENST00000417314[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000397821,ENST00000397821[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000519728,ENST00000519728[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000643230,ENST00000643230[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000327367,ENST00000327367[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000542104,ENST00000542104[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000329464,ENST00000329464[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000258947,ENST00000258947[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000267425,ENST00000267425[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000280377,ENST00000280377[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000380986,ENST00000380986[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000495893,ENST00000495893[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000281031,ENST00000281031[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000244050,ENST00000244050[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000436587,ENST00000436587[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000260130,ENST00000260130[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000269397,ENST00000269397[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000227525,ENST00000227525[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000370206,ENST00000370206[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000454686,ENST00000454686[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000377813,ENST00000377813[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000305883,ENST00000305883[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000373132,ENST00000373132[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000356031,ENST00000356031[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000264866,ENST00000264866[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000324501,ENST00000324501[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000375344,ENST00000375344[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000300131,ENST00000300131[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000409261,ENST00000409261[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000281772,ENST00000281772[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000355622,ENST00000355622[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000672887,ENST00000672887[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000340139,ENST00000340139[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000458013,ENST00000458013[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000340023,ENST00000340023[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000331426,ENST00000331426[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000312465,ENST00000312465[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000311160,ENST00000311160[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000228918,ENST00000228918[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000285013,ENST00000285013[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000355083,ENST00000355083[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000379774,ENST00000379774[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000408965,ENST00000408965[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000548058,ENST00000548058[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000549207,ENST00000549207[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000602324,ENST00000602324[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000269187,ENST00000269187[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000381232,ENST00000381232[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000695854,ENST00000695854[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000310421,ENST00000310421[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000399050,ENST00000399050[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000331433,ENST00000331433[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000262094,ENST00000262094[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000370794,ENST00000370794[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000303809,ENST00000303809[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000585682,ENST00000585682[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000318948,ENST00000318948[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000249883,ENST00000249883[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000569927,ENST00000569927[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000369026,ENST00000369026[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000262794,ENST00000262794[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000220853,ENST00000220853[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000400288,ENST00000400288[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000360817,ENST00000360817[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000649979,ENST00000649979[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000361675,ENST00000361675[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000248244,ENST00000248244[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000381652,ENST00000381652[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000682931,ENST00000682931[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000427140,ENST00000427140[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000300870,ENST00000300870[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000246551,ENST00000246551[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000394610,ENST00000394610[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000260502,ENST00000260502[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000222673,ENST00000222673[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000673801,ENST00000673801[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000685675,ENST00000685675[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000486365,ENST00000486365[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000328459,ENST00000328459[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000252029,ENST00000252029[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000377843,ENST00000377843[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000305454,ENST00000305454[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000691102,ENST00000691102[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000441282,ENST00000441282[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000287156,ENST00000287156[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000692063,ENST00000692063[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000394479,ENST00000394479[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000298573,ENST00000298573[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000679041,ENST00000679041[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000328381,ENST00000328381[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000293778,ENST00000293778[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000066544,ENST00000066544[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000402219,ENST00000402219[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000504154,ENST00000504154[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000378628,ENST00000378628[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000307851,ENST00000307851[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000263056,ENST00000263056[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000372991,ENST00000372991[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000375353,ENST00000375353[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000270747,ENST00000270747[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000202917,ENST00000202917[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000294517,ENST00000294517[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000216629,ENST00000216629[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000221132,ENST00000221132[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000265138,ENST00000265138[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000350030,ENST00000350030[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000323037,ENST00000323037[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000316724,ENST00000316724[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000502935,ENST00000502935[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000447906,ENST00000447906[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000368599,ENST00000368599[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000366578,ENST00000366578[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000370096,ENST00000370096[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000287706,ENST00000287706[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000309377,ENST00000309377[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000650871,ENST00000650871[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000291592,ENST00000291592[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000353704,ENST00000353704[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000447944,ENST00000447944[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000675478,ENST00000675478[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000322354,ENST00000322354[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000426546,ENST00000426546[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000361757,ENST00000361757[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000308025,ENST00000308025[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000360943,ENST00000360943[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000604187,ENST00000604187[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000367468,ENST00000367468[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000465518,ENST00000465518[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000272163,ENST00000272163[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000621999,ENST00000621999[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000374360,ENST00000374360[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000271308,ENST00000271308[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000216160,ENST00000216160[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000515260,ENST00000515260[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000373839,ENST00000373839[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000611815,ENST00000611815[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000314641,ENST00000314641[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000224140,ENST00000224140[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000313766,ENST00000313766[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000396432,ENST00000396432[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000311148,ENST00000311148[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000682860,ENST00000682860[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000675903,ENST00000675903[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000394456,ENST00000394456[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000538077,ENST00000538077[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000359314,ENST00000359314[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000456775,ENST00000456775[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000371818,ENST00000371818[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000329321,ENST00000329321[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000376809,ENST00000376809[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000403290,ENST00000403290[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000521654,ENST00000521654[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000269221,ENST00000269221[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000296051,ENST00000296051[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000570269,ENST00000570269[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000651372,ENST00000651372[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000343267,ENST00000343267[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000385135,ENST00000385135[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000341516,ENST00000341516[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000228850,ENST00000228850[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000366756,ENST00000366756[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000396398,ENST00000396398[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000621039,ENST00000621039[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000296861,ENST00000296861[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000222823,ENST00000222823[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000643581,ENST00000643581[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000295324,ENST00000295324[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000376389,ENST00000376389[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000266971,ENST00000266971[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000317615,ENST00000317615[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000348354,ENST00000348354[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000370757,ENST00000370757[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000674920,ENST00000674920[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000435224,ENST00000435224[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000697560,ENST00000697560[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000376372,ENST00000376372[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000651419,ENST00000651419[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000392977,ENST00000392977[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000517392,ENST00000517392[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000389622,ENST00000389622[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000265471,ENST00000265471[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000162749,ENST00000162749[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000523057,ENST00000523057[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000340181,ENST00000340181[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000513533,ENST00000513533[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
